Entry	Gene Names (primary)	Gene Names	Mass	Length	Protein names
Q6LYX3	ablB	ablB yodP MMP0862	31930	274	Beta-lysine N(6)-acetyltransferase (EC 2.3.1.264)
Q6LYX4	ablA	ablA kamA MMP0861	49186	433	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.2)
Q6LZ92	nadX	nadX MMP0737	28593	267	L-aspartate dehydrogenase (EC 1.4.1.21)
Q6LZE1	sepS	sepS MMP0688	61148	537	O-phosphoserine--tRNA(Cys) ligase (O-phosphoserine--tRNA ligase) (EC 6.1.1.27) (Non-canonical O-phosphoseryl-tRNA(Cys) synthetase) (O-phosphoseryl-tRNA(Cys) synthetase) (SepRS)
Q6LZE9	upp	upp MMP0680	25973	231	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)
Q6LZL5	tgtA	tgtA MMP0610	74401	649	tRNA-guanine(15) transglycosylase (EC 2.4.2.48) (7-cyano-7-deazaguanine tRNA-ribosyltransferase) (Archaeal tRNA-guanine transglycosylase)
Q6LZQ3	moaA	moaA MMP0571	34147	297	Probable GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)
Q6M075	eno	eno MMP0396	45929	426	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
Q6M079	purD	purD MMP0392	48796	444	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)
Q6M0F3	ilvD	ilvD MMP0318	58718	550	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)
Q6M0G7		MMP0304	30106	252	N-glycosylase/DNA lyase (8-oxoguanine DNA glycosylase) (EC 3.2.2.-) (AGOG) (DNA-(apurinic or apyrimidinic site) lyase) (AP lyase) (EC 4.2.99.18)
Q6M0I7	ndk	ndk MMP0283	15292	133	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)
Q6M0K2	truA	truA MMP0268	30405	262	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)
Q6M0K9	rpo11	rpo11 rpoL MMP0261	10828	96	DNA-directed RNA polymerase subunit Rpo11 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit L)
Q6M0U0	purQ	purQ MMP0178	30466	272	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
Q6M102	argC	argC MMP0116	37784	343	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)
Q6M115	pdxS	pdxS MMP0103	32022	299	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
Q6M160	cofH2	cofH2 MMP0057	39482	358	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase 2 (EC 2.5.1.147) (FO synthase subunit 2 2)
Q6M183	mptA	mptA MMP0034	35607	315	GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV)
F1SVF6	fdhB2	fdhB2 MMP0139	42431	375	F420-dependent formate dehydrogenase 2 subunit beta (Fdh2 subunit beta) (EC 1.17.98.3)
P0CW53	nifK	nifK MMP0857	50503	462	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)
P61400	gatD	gatD MMP1266	45982	418	Glutamyl-tRNA(Gln) amidotransferase subunit D (Glu-ADT subunit D) (EC 6.3.5.-)
P61413	thiE	thiE MMP1139	22358	207	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)
P61527	argG	argG MMP0073	44580	397	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
Q6LWK4	arfB	arfB MMP1705	24325	221	2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase (FAPy deformylase) (EC 3.5.1.102) (Formamide hydrolase)
Q6LWM0	comE	comE MMP1689	20281	185	Sulfopyruvate decarboxylase subunit beta (EC 4.1.1.79)
Q6LWX1	speH	speH MMP1583	13472	122	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]
Q6LX60	pyrE	pyrE MMP1492	20257	185	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
Q6LX84		MMP1468	43545	396	L-cysteine desulfidase (EC 4.4.1.28) (L-cysteine desulfhydrase)
Q6LXH8	purP	purP MMP1373	40413	361	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase (EC 6.3.4.23) (5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate--formate ligase)
Q6LXQ4	pgi	pgi MMP1295	49256	438	Probable glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
Q6LY93	pstB	pstB MMP1098	28619	251	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)
Q6LYE7	atpA	atpA MMP1044	64194	586	A-type ATP synthase subunit A (EC 7.1.2.2)
Q6LYI4	trpD	trpD MMP1007	34870	321	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)
Q6LYK1	dtdA	dtdA MMP0990	29152	254	D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase)
Q6LYP1	cca	cca MMP0949	52133	444	CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)
Q6LZC7	mptN	mptN MMP0702	33016	292	Tetrahydromethanopterin:alpha-L-glutamate ligase (EC 6.3.2.33) (H(4)MPT:alpha-L-glutamate ligase)
Q6LZH4	ilvC	ilvC MMP0654	36604	330	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)
Q6M083		MMP0388	42545	390	Digeranylgeranylglycerophospholipid reductase (DGGGPL reductase) (EC 1.3.-.-) (2,3-bis-O-geranylgeranylglyceryl phosphate reductase) (Geranylgeranyl reductase) (GGR)
Q6M0E5	metG	metG MMP0326	76173	663	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
Q6M0K7	tyrS	tyrS MMP0263	36076	319	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)
Q6M0N7	epdA	epdA MMP0233	14395	129	Minor structural pilin EpdA (EppA-dependent protein A)
Q6M0P4	egsA	egsA MMP0225	36819	334	Glycerol-1-phosphate dehydrogenase [NAD(P)+] (G1P dehydrogenase) (G1PDH) (EC 1.1.1.261) (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)
Q6M0Y7	mfnA	mfnA MMP0131	43145	384	Probable L-tyrosine/L-aspartate decarboxylase (TDC/ADC) (EC 4.1.1.11) (EC 4.1.1.25)
Q6M133	pelA	pelA MMP0085	39474	348	Protein pelota homolog (EC 3.1.-.-)
Q6M161	cofH1	cofH1 MMP0056	39824	359	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase 1 (EC 2.5.1.147) (FO synthase subunit 2 1)
Q6M174	fni	fni MMP0043	38740	355	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)
Q6M191	polC	polC MMP0026	128381	1131	DNA polymerase II large subunit (Pol II) (EC 2.7.7.7) (Exodeoxyribonuclease large subunit) (EC 3.1.11.1)
Q6M1B0	aroB'	aroB' MMP0006	40003	361	3-dehydroquinate synthase (DHQ synthase) (EC 1.4.1.24) (3-dehydroquinate synthase II)
P60862	hisD	hisD MMP0968	46184	424	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)
P61428	thiC	thiC MMP0187	47166	426	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)
P61782	hisH1	hisH1 hisH MMP0256	22676	203	Imidazole glycerol phosphate synthase subunit HisH 1 (EC 4.3.2.10) (IGP synthase glutaminase subunit 1) (EC 3.5.1.2) (IGP synthase subunit HisH 1) (ImGP synthase subunit HisH 1) (IGPS subunit HisH 1)
P62391	hisI	hisI MMP0280	14855	129	Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19)
P62423	pgk	pgk MMP1532	45329	414	Phosphoglycerate kinase (EC 2.7.2.3)
Q6LWN2		MMP1677	31204	278	Digeranylgeranylglyceryl phosphate synthase (DGGGP synthase) (DGGGPS) (EC 2.5.1.42) ((S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase) (Geranylgeranylglycerol-phosphate geranylgeranyltransferase)
Q6LWU0	aspS	aspS MMP1616	50132	438	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)
Q6LWZ2	mtrC	mtrC MMP1562	26607	262	Tetrahydromethanopterin S-methyltransferase subunit C (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit C)
Q6LWZ3	mtrD	mtrD MMP1561	23229	235	Tetrahydromethanopterin S-methyltransferase subunit D (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit D)
Q6LX56	pheS	pheS MMP1496	58087	500	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q6LXC6	dcd	dcd MMP1426	23388	206	dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)
Q6LXD3	rps5	rps5 MMP1419	24376	225	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)
Q6LXL7	aroC	aroC MMP1333	40808	373	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
Q6LXQ2	fdhB1	fdhB1 MMP1297	43092	387	F420-dependent formate dehydrogenase 1 subunit beta (Fdh1 subunit beta) (EC 1.17.98.3)
Q6LXU3	purM	purM MMP1254	38198	349	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
Q6LXV8	bioB	bioB MMP1238	37125	327	Biotin synthase (EC 2.8.1.6)
Q6LXY6	eif2g	eif2g MMP1208	43943	410	Translation initiation factor 2 subunit gamma (EC 3.6.5.3) (aIF2-gamma) (eIF-2-gamma)
Q6LY06	fucA	fucA MMP1187	20110	180	L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)
Q6LYB5		MMP1076	45282	411	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]
Q6LYP5	ribL	ribL MMP0943	17170	150	FAD synthase (EC 2.7.7.2) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase)
Q6LYR5	dapB	dapB MMP0923	28861	270	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
Q6LYT2	rnz	rnz MMP0906	34580	308	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)
Q6LYU3	guaAB	guaAB guaA MMP0894	34856	310	GMP synthase [glutamine-hydrolyzing] subunit B (EC 6.3.5.2) (GMP synthetase)
Q6LZC4	wecB	wecB wbpI MMP0705	41356	366	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (UDP-GlcNAc-2-epimerase)
Q6LZD4	psmB	psmB MMP0695	23648	219	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)
Q6LZN6	dphB	dphB dph5 MMP0588	28771	255	Diphthine synthase (EC 2.1.1.98) (Diphthamide biosynthesis methyltransferase)
Q6LZP0	valS	valS MMP0584	102046	886	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)
Q6M086	pyrH	pyrH MMP0385	23933	225	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
Q6M0H5	thrB	thrB MMP0295	32453	301	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)
Q6M0P3	queC	queC MMP0226	26162	233	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (Archaeosine biosynthesis protein QueC) (PreQ(0) synthase)
Q6M0Z1	hmd	hmd MMP0127	37868	354	5,10-methenyltetrahydromethanopterin hydrogenase (EC 1.12.98.2) (H(2)-dependent methylene-H(4)MPT dehydrogenase) (H(2)-forming N(5),N(10)-methylenetetrahydromethanopterin dehydrogenase) (N(5),N(10)-methenyltetrahydromethanopterin hydrogenase) ([Fe]-hydrogenase)
Q6M0Z3	hcgG	hcgG MMP0125	56879	510	Iron-guanylylpyridinol cofactor synthase (FeGP cofactor synthase)
Q6M1A9		MMP0007	27801	256	Geranylgeranylglyceryl phosphate synthase (GGGP synthase) (GGGPS) (EC 2.5.1.41) ((S)-3-O-geranylgeranylglyceryl phosphate synthase) (Phosphoglycerol geranylgeranyltransferase)
P0CW43	fwdC	fwdC MMP1249	29187	272	Tungsten-containing formylmethanofuran dehydrogenase 2 subunit C (EC 1.2.7.12) (Tungsten-containing formylmethanofuran dehydrogenase II subunit C)
P0CW57	nifH	nifH MMP0853	30146	275	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)
P60807	hisG	hisG MMP0947	31561	288	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)
P61519	rpo5	rpo5 rpoH MMP1360	8782	78	DNA-directed RNA polymerase subunit Rpo5 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit H)
P61730	ribH	ribH MMP0050	15063	137	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)
P61783	hisH2	hisH2 MMP1082	22797	202	Imidazole glycerol phosphate synthase subunit HisH 2 (EC 4.3.2.10) (IGP synthase glutaminase subunit 2) (EC 3.5.1.2) (IGP synthase subunit HisH 2) (ImGP synthase subunit HisH 2) (IGPS subunit HisH 2)
P62647	cheB	cheB MMP0926	39791	365	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44)
Q6LWL8	fwdB	fwdB MMP1691	48323	434	Tungsten-containing formylmethanofuran dehydrogenase 2 subunit B (EC 1.2.7.12) (Tungsten-containing formylmethanofuran dehydrogenase II subunit B)
Q6LWQ0	pyrB	pyrB MMP1659	34171	302	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Q6LWY8	mtrG	mtrG MMP1566	8198	74	Tetrahydromethanopterin S-methyltransferase subunit G (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit G)
Q6LWZ1	mtrB	mtrB MMP1563	12027	108	Tetrahydromethanopterin S-methyltransferase subunit B (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit B)
Q6LWZ4	mtrE	mtrE MMP1560	31080	299	Tetrahydromethanopterin S-methyltransferase subunit E (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit E)
Q6LXA7	guaAA	guaAA guaA MMP1445	20884	189	GMP synthase [glutamine-hydrolyzing] subunit A (EC 6.3.5.2) (Glutamine amidotransferase)
Q6LXI7	rpo1C	rpo1C rpoA2 MMP1364	42795	386	DNA-directed RNA polymerase subunit Rpo1C (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A'')
Q6LXP1	tal	tal MMP1308	23442	215	Transaldolase (EC 2.2.1.2)
Q6LXY3		MMP1211	37738	349	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (HMGCS) (EC 2.3.3.10)
Q6LY04	rpiA	rpiA MMP1189	25658	239	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
Q6LY19		MMP1174	24969	217	Peroxiredoxin (EC 1.11.1.24) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)
Q6LY53	thiM	thiM MMP1138	28378	266	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)
Q6LYM1	lig	lig MMP0970	65752	573	DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])
Q6LYQ1	cofE	cofE MMP0937	26989	248	Coenzyme F420:L-glutamate ligase (EC 6.3.2.31) (EC 6.3.2.34) (Coenzyme F420-0:L-glutamate ligase) (Coenzyme F420-1:gamma-L-glutamate ligase)
Q6LYQ2	aroE	aroE MMP0936	30781	278	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)
Q6LZA2	uvrB	uvrB MMP0727	74765	646	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)
Q6LZE3	aroA'	aroA' MMP0686	29418	272	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (ADH synthase) (ADHS) (ADTH synthase) (EC 2.2.1.10)
Q6LZI3	mdh	mdh MMP0645	34468	314	Malate dehydrogenase (EC 1.1.1.299)
Q6LZL0	truD2	truD2 MMP0615	45732	390	Probable tRNA pseudouridine synthase D 2 (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D 2) (tRNA-uridine isomerase D 2)
Q6LZM2	pyrF	pyrF MMP0602	23639	217	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)
