present_in,absent_from,gene,description,in_model,best_hit,pident,evalue,criterion
auris,haemulonii,XP_085451334.1,ENY2 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451337.1,cell envelope integrity TolA family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451347.1,uncharacterized protein B9J08_04725 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451359.1,uncharacterized protein B9J08_04737 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451361.1,uncharacterized protein B9J08_04739 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451445.1,uncharacterized protein B9J08_04823 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451543.1,uncharacterized protein B9J08_03846 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451551.1,uncharacterized protein B9J08_03854 [Candidozyma auris B8441],False,XP_025340208.1,66.7,1.53e-07,no_hit_e10
auris,haemulonii,XP_085451563.1,uncharacterized protein B9J08_03867 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451616.1,uncharacterized protein B9J08_03924 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451631.1,uncharacterized protein B9J08_03939 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451724.1,60S ribosomal protein eL29 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451731.1,uncharacterized protein B9J08_04042 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451745.1,uncharacterized protein B9J08_04056 [Candidozyma auris B8441],False,XP_025343079.1,38.4,1.9e-08,no_hit_e10
auris,haemulonii,XP_085451765.1,uncharacterized protein B9J08_04077 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451768.1,uncharacterized protein B9J08_04080 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451771.1,uncharacterized protein B9J08_04083 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451800.1,riboflavin kinase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451814.1,uncharacterized protein B9J08_04126 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451824.1,60S ribosomal protein eL37 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451858.1,methylated-DNA--protein-cysteine methyltransferase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451886.1,uncharacterized protein B9J08_04204 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451892.1,mRNA splicing protein [Candidozyma auris B8441],False,XP_025342862.1,38.0,2.57e-08,no_hit_e10
auris,haemulonii,XP_085451898.1,Asr3p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451914.1,uncharacterized protein B9J08_04233 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085451988.1,"cytochrome c oxidase assembly factor 3, mitochondrial [Candidozyma auris B8441]",False,,,,no_hit_e3
auris,haemulonii,XP_085452011.1,RNA-binding protein [Candidozyma auris B8441],False,XP_025342862.1,27.3,0.000113,no_hit_e10
auris,haemulonii,XP_085452046.1,Sm-like protein [Candidozyma auris B8441],False,XP_025339874.1,35.8,5.08e-09,no_hit_e10
auris,haemulonii,XP_085452086.1,holo-[acyl-carrier-protein] synthase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452091.1,uncharacterized protein B9J08_04416 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452092.1,uncharacterized protein B9J08_04417 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452093.1,putative serine/threonine protein kinase [Candidozyma auris B8441],False,XP_025341143.1,23.1,1.29e-08,no_hit_e10
auris,haemulonii,XP_085452100.1,uncharacterized protein B9J08_04425 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452102.1,uncharacterized protein B9J08_04427 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452104.1,uncharacterized protein B9J08_03022 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452116.1,uncharacterized protein B9J08_03035 [Candidozyma auris B8441],False,XP_025343687.1,34.1,3.77e-07,no_hit_e10
auris,haemulonii,XP_085452140.1,uncharacterized protein B9J08_03061 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452252.1,CENP-X/MHF2 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452281.1,uncharacterized protein B9J08_03205 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452323.1,LYR motif-containing protein 2 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452376.1,uncharacterized protein B9J08_03301 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452399.1,uncharacterized protein B9J08_03324 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452608.1,uncharacterized protein B9J08_03537 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452676.1,H(+)-transporting V0 sector ATPase subunit e [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452677.1,uncharacterized protein B9J08_03611 [Candidozyma auris B8441],False,XP_025343444.1,25.9,2.65e-08,no_hit_e10
auris,haemulonii,XP_085452686.1,uncharacterized protein B9J08_03620 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452781.1,uncharacterized protein B9J08_03716 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452783.1,uncharacterized protein B9J08_03718 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452794.1,uncharacterized protein B9J08_03729 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452796.1,uncharacterized protein B9J08_03731 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452797.1,uncharacterized protein B9J08_03732 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452829.1,uncharacterized protein B9J08_03767 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452834.1,uncharacterized protein B9J08_03772 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452835.1,MFS transporter [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452879.1,mitochondrial 54S ribosomal protein bL33m [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085452992.1,Hsk3p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453051.1,DNA-directed RNA polymerase core subunit [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453058.1,uncharacterized protein B9J08_02183 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453092.1,low-affinity Cu transporter [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453148.1,adenosine deaminase family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453198.1,uncharacterized protein B9J08_02327 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453264.1,uncharacterized protein B9J08_02397 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453284.1,40S ribosomal protein eS27 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453314.1,uncharacterized protein B9J08_02451 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453321.1,resistance to Congo red protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453326.1,uncharacterized protein B9J08_02463 [Candidozyma auris B8441],False,XP_025340007.1,39.1,7.1e-09,no_hit_e10
auris,haemulonii,XP_085453340.1,Dpm2p [Candidozyma auris B8441],True,,,,no_hit_e3
auris,haemulonii,XP_085453361.1,uncharacterized protein B9J08_02498 [Candidozyma auris B8441],False,XP_025340043.1,43.4,7.19e-06,no_hit_e10
auris,haemulonii,XP_085453383.1,uncharacterized protein B9J08_02520 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453390.1,U4/U6-U5 snRNP complex subunit [Candidozyma auris B8441],False,XP_025342862.1,36.4,1.45e-10,no_hit_e10
auris,haemulonii,XP_085453436.1,uncharacterized protein B9J08_02575 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453462.1,uncharacterized protein B9J08_02602 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453470.1,uncharacterized protein B9J08_02610 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453489.1,uncharacterized protein B9J08_02630 [Candidozyma auris B8441],False,XP_025339902.1,39.2,1.02e-06,no_hit_e10
auris,haemulonii,XP_085453493.1,uncharacterized protein B9J08_02634 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453525.1,Sen15p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453532.1,L51/S25/CI-B8 domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453596.1,uncharacterized protein B9J08_02741 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453608.1,uncharacterized protein B9J08_02753 [Candidozyma auris B8441],False,XP_025339659.1,76.5,1.47e-10,no_hit_e10
auris,haemulonii,XP_085453630.1,uncharacterized protein B9J08_02775 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453646.1,uncharacterized protein B9J08_02793 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453657.1,uncharacterized protein B9J08_02804 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453669.1,uncharacterized protein B9J08_02817 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453701.1,uncharacterized protein B9J08_02849 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453715.1,uncharacterized protein B9J08_02864 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453740.1,uncharacterized protein B9J08_02889 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453791.1,MICOS complex subunit MIC10 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453857.1,uncharacterized protein B9J08_03008 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453860.1,uncharacterized protein B9J08_03011 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453870.1,NAD-dependent epimerase/dehydratase family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453932.1,uncharacterized protein B9J08_00071 [Candidozyma auris B8441],True,,,,no_hit_e3
auris,haemulonii,XP_085453964.1,RNA exonuclease [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085453998.1,U4/U6-U5 snRNP complex subunit [Candidozyma auris B8441],False,XP_025344654.1,34.3,3.79e-09,no_hit_e10
auris,haemulonii,XP_085454077.1,uncharacterized protein B9J08_00220 [Candidozyma auris B8441],False,XP_025340912.1,51.9,3.31e-06,no_hit_e10
auris,haemulonii,XP_085454104.1,electron transfer flavoprotein regulatory factor 1 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454108.1,uncharacterized protein B9J08_00251 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454116.1,DNA-binding transcriptional regulator [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454146.1,ubiquinol--cytochrome-c reductase subunit 10 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454335.1,uncharacterized protein B9J08_00484 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454343.1,DUF1748 domain-containing protein [Candidozyma auris B8441],False,XP_025342744.1,38.8,5.83e-10,no_hit_e10
auris,haemulonii,XP_085454350.1,uncharacterized protein B9J08_00500 [Candidozyma auris B8441],False,XP_025344389.1,49.0,5e-09,no_hit_e10
auris,haemulonii,XP_085454352.1,coiled-coil-helix-coiled-coil-helix domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454425.1,60S ribosomal protein eL30 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454436.1,uncharacterized protein B9J08_00589 [Candidozyma auris B8441],False,XP_025341170.1,64.2,9.76e-10,no_hit_e10
auris,haemulonii,XP_085454516.1,LSM domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454573.1,Stf2p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454576.1,U2-type spliceosomal complex subunit [Candidozyma auris B8441],False,XP_025344160.1,29.8,4.88e-05,no_hit_e10
auris,haemulonii,XP_085454607.1,translocon subunit [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454726.1,uncharacterized protein B9J08_00886 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454844.1,double-stranded DNA-dependent ATPase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454845.1,GPI-anchor transamidase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454846.1,CLASP family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454847.1,homeodomain family transcription factor [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454866.1,uncharacterized protein B9J08_01039 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454868.1,cytochrome c oxidase subunit VIII [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085454970.1,long-chain fatty acid transporter [Candidozyma auris B8441],False,XP_025342656.1,40.6,5.9e-09,no_hit_e10
auris,haemulonii,XP_085454973.1,40S ribosomal protein eS28 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455002.1,uncharacterized protein B9J08_01178 [Candidozyma auris B8441],False,XP_025340463.1,34.0,1.73e-05,no_hit_e10
auris,haemulonii,XP_085455018.1,uncharacterized protein B9J08_01194 [Candidozyma auris B8441],False,XP_025340480.1,37.7,8.26e-08,no_hit_e10
auris,haemulonii,XP_085455072.1,protein PET117 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455104.1,"uncharacterized protein B9J08_01283, partial [Candidozyma auris B8441]",False,,,,no_hit_e3
auris,haemulonii,XP_085455161.1,uncharacterized protein B9J08_01343 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455164.1,uncharacterized protein B9J08_01346 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455177.1,Arf family guanine nucleotide exchange factor [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455222.1,uncharacterized protein B9J08_01409 [Candidozyma auris B8441],False,XP_025340670.1,53.0,2.86e-10,no_hit_e10
auris,haemulonii,XP_085455249.1,Mtr2p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455266.1,uncharacterized protein B9J08_01455 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455276.1,uncharacterized protein B9J08_01465 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455341.1,uncharacterized protein B9J08_01530 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455343.1,endopeptidase catalytic subunit [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455364.1,40S ribosomal protein eS27 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455370.1,uncharacterized protein B9J08_01559 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455373.1,uncharacterized protein B9J08_01562 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455396.1,ATP-dependent RNA helicase [Candidozyma auris B8441],False,XP_025342844.1,26.9,8.06e-05,no_hit_e10
auris,haemulonii,XP_085455397.1,gluconokinase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455413.1,uncharacterized protein B9J08_01602 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455420.1,uncharacterized protein B9J08_01609 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455436.1,cytidine deaminase [Candidozyma auris B8441],True,,,,no_hit_e3
auris,haemulonii,XP_085455439.1,Zn(II)2Cys6 transcription factor CZRF1 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455444.1,uncharacterized protein B9J08_01635 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455446.1,proteasome regulatory particle lid subunit [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455549.1,amino acid transporter [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455591.1,F1F0 ATP synthase subunit k [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455594.1,uncharacterized protein B9J08_01786 [Candidozyma auris B8441],False,XP_025341911.1,21.6,5.95e-07,no_hit_e10
auris,haemulonii,XP_085455633.1,uncharacterized protein B9J08_01825 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455634.1,Dad1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455683.1,uncharacterized protein B9J08_01877 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455696.1,uncharacterized protein B9J08_01890 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455721.1,SAGA histone acetyltransferase complex subunit [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455746.1,Pga34p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,haemulonii,XP_085455763.1,uncharacterized protein B9J08_01958 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450351.1,uncharacterized protein B9J08_05257 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450352.1,uncharacterized protein B9J08_05258 [Candidozyma auris B8441],False,XP_025336797.1,31.3,6.25e-07,no_hit_e10
auris,duobushaemulonii,XP_085450359.1,uncharacterized protein B9J08_05265 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450360.1,uncharacterized protein B9J08_05266 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450392.1,uncharacterized protein B9J08_05298 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450399.1,uncharacterized protein B9J08_05305 [Candidozyma auris B8441],False,XP_025337392.1,83.9,5.67e-09,no_hit_e10
auris,duobushaemulonii,XP_085450400.1,uncharacterized protein B9J08_05306 [Candidozyma auris B8441],False,XP_025337393.1,85.7,1.78e-07,no_hit_e10
auris,duobushaemulonii,XP_085450413.1,uncharacterized protein B9J08_05319 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450439.1,ESCRT-II subunit protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450445.1,ESCRT-I subunit protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450454.1,Mg-dependent acid phosphatase [Candidozyma auris B8441],True,,,,no_hit_e3
auris,duobushaemulonii,XP_085450455.1,uncharacterized protein B9J08_05363 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450458.1,uncharacterized protein B9J08_05366 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,duobushaemulonii,XP_085450461.1,sucrase/ferredoxin-like domain-containing protein [Candidozyma auris B8441],False,XP_025338682.1,29.4,7.02e-10,no_hit_e10
auris,duobushaemulonii,XP_085450470.1,prephenate dehydratase [Candidozyma auris B8441],False,,,,no_hit_e3
