uniprotAccession,proteinId,meltingPoint,pred
P06103,P06103_PRT1,44.8512362986019,54.791671
P06105,P06105_SCP160,46.0465270165791,61.29483
P06115,P06115_CTT1,51.6923321874141,51.964927
P06168,P06168_ILV5,45.6370182335352,53.595644
P06169,P06169_PDC1,47.7093846814564,52.627307
P06174,P06174_HEM4,45.6932794776387,56.009352
P06208,P06208_LEU4,46.957410831723,54.677719
P06244,P06244_TPK1,48.5486312782244,52.319062
P06245,P06245_TPK2,45.2212617987939,51.776999
P06367,P06367_RPS14A,43.1530183090601,64.288497
P06634,P06634_DED1,44.0512685509568,51.072127
P06738,P06738_GPH1,45.3392113159275,51.901567
P06774,P06774_HAP2,50.8912482098703,56.577426
P06775,P06775_HIP1,50.7539621692508,52.102154
P06776,P06776_PDE2,49.7388024833261,52.999109
P06780,P06780_RHO1,46.521117740928,55.319989
P06782,P06782_SNF1,49.095418876713,54.274338
P06785,P06785_CDC21,51.4416639640385,56.078523
P07149,P07149_FAS1,48.87821988319,52.626663
P07172,P07172_HIS5,45.7871766146519,58.437806
P07213,P07213_TOM70,47.5013930849006,57.957327
P07244,"P07244_ADE5,7",46.71636884679,56.223083
P07245,P07245_ADE3,47.0792725159185,57.515311
P07246,P07246_ADH3,53.2351090454767,51.065773
P07248,P07248_ADR1,50.4382993091383,53.077626
P07251,P07251_ATP1,48.8069905068174,53.137887
P07256,P07256_COR1,43.5204013233795,54.312271
P07257,P07257_QCR2,44.6502473562938,56.326371
P07258,P07258_CPA1,47.1014715402707,54.596239
P07259,P07259_URA2,46.3703586877634,53.581911
P07260,P07260_CDC33,49.8398304435686,52.37214
P07262,P07262_GDH1,53.2758365022309,55.335027
P07263,P07263_HTS1,46.7319136226234,52.502733
P07264,P07264_LEU1,44.6937316994279,52.165604
P07267,P07267_PEP4,52.9588861443918,54.157567
P07269,P07269_PHO2,46.930113086123,51.403612
P07270,P07270_PHO4,51.5407219445653,55.802161
P07273,P07273_DST1,49.4942671236093,53.098577
P07274,P07274_PFY1,52.3084732013545,60.135031
P07275,P07275_PUT2,50.3286756045802,54.035318
P07277,P07277_ERG12,51.590110857665,51.302105
P07278,P07278_BCY1,46.5757638993323,52.133965
P07280,P07280_RPS19A,44.3570408924046,62.928456
P07281,P07281_RPS19B,44.680699168507,62.78401
P07283,P07283_SEC53,50.2749084106603,57.420766
P07284,P07284_SES1,47.7924798681325,51.985723
P07285,P07285_TRP4,50.3072201119762,52.890265
P07342,P07342_ILV2,45.652267942076,51.520216
P07560,P07560_SEC4,47.3433314092917,57.126492
P07702,P07702_LYS2,47.7178735605065,52.851433
P07703,P07703_RPC40,48.3568692763931,54.108077
P07806,P07806_VAS1,49.4063200157877,51.436222
P07991,P07991_CAR2,48.2186587407664,58.264691
P08018,P08018_PBS2,54.8974360328375,53.536087
P08067,P08067_RIP1,53.9301113276885,54.962939
P08417,P08417_FUM1,50.0891937617551,51.028246
P08432,P08432_SPE1,47.6328804503188,52.177173
P08465,P08465_MET2,45.2614693268941,53.046501
P08518,P08518_RPB2,49.8373092252115,52.992034
P08524,P08524_ERG20,47.6681096885891,54.295069
P08536,P08536_MET3,51.2565636348321,55.373377
P08566,P08566_ARO1,44.619187947533,53.801721
P08679,P08679_CIT2,47.3199694833371,55.655718
P09064,P09064_SUI3,51.0814978708036,55.078858
P09232,P09232_PRB1,50.9278518390029,54.427469
P09436,P09436_ILS1,50.208426208763,56.215817
P09440,P09440_MIS1,43.3626877904179,55.982208
P09624,P09624_LPD1,54.8706894692568,61.121231
P09733,P09733_TUB1,47.4510687715506,53.493553
P09734,P09734_TUB3,49.9606100296544,53.460592
P09880,P09880_TRL1,44.164574124322,52.883583
P09938,P09938_RNR2,53.2348370410649,52.970856
P09950,P09950_HEM1,45.5133717224385,53.843969
P0C0V8,P0C0V8_RPS21A,50.4001700973653,55.194986
P0C0W9,P0C0W9_RPL11A,42.336256264915,55.635554
P0C0X0,P0C0X0_RPS28B,47.6218423227168,59.110105
P0C2H7,P0C2H7_RPL27B,42.3497496208086,61.035901
P0C2H8,P0C2H8_RPL31A,43.4464674000458,58.949786
P0C2H9,P0C2H9_RPL31B,43.5709128133329,63.463902
P0CF20,P0CF20_YOL163W,53.6443960898552,54.002851
P0CH09,P0CH09_RPL40B,41.9898477876712,56.368607
P0CS90,P0CS90_SSC1,49.4396176875461,56.570166
P0CX24,P0CX24_RPL20B,42.0516338360259,53.740162
P0CX26,P0CX26_RPL43B,42.1902954165884,65.02493
P0CX28,P0CX28_RPL42B,41.6600922303544,55.571562
P0CX30,P0CX30_RPS23B,41.6599879942837,59.7826
P0CX32,P0CX32_RPS24B,42.2009639676948,59.69016
P0CX34,P0CX34_RPS30B,42.5145261203117,58.439708
P0CX36,P0CX36_RPS4B,42.1801864560417,60.823905
P0CX38,P0CX38_RPS6B,42.1419928733491,61.396676
P0CX40,P0CX40_RPS8B,42.1443545138937,54.949051
P0CX42,P0CX42_RPL23B,44.2473416950386,60.16472
P0CX44,P0CX44_RPL1B,46.1062348533146,52.345419
P0CX46,P0CX46_RPL2B,41.8938070430976,62.903529
P0CX48,P0CX48_RPS11B,42.2599625168281,56.378108
P0CX50,P0CX50_RPL18B,41.8746303587343,57.531792
P0CX52,P0CX52_RPS16B,42.7221547108175,55.807096
P0CX54,P0CX54_RPL12B,48.1562212556039,59.151942
P0CX56,P0CX56_RPS18B,42.240106575003,53.877854
P0CX83,P0CX83_RPL19B,42.1639212286906,57.646954
P0CX85,P0CX85_RPL35B,41.7258619481535,57.799572
P10080,P10080_SBP1,51.6219461578726,54.440361
P10081,P10081_TIF1,50.0882638001702,53.57278
P10127,P10127_ADH4,52.6470089672122,57.584125
P10356,P10356_YER152C,49.3970706238258,58.08506
P10363,P10363_PRI1,43.2916145647886,52.050465
P10507,P10507_MAS1,48.4154287928319,61.709791
P10591,P10591_SSA1,49.8018276740935,56.928414
P10592,P10592_SSA2,49.0490888566787,57.93311
P10622,P10622_RPP1B,57.3788956652353,57.057685
P10659,P10659_SAM1,48.999180754453,56.175488
P10662,P10662_MRP1,46.5735429244632,52.491003
P10664,P10664_RPL4A,42.6504109824746,55.21993
P10823,P10823_GPA2,51.343366789369,54.505903
P10849,P10849_MTF2,46.4019665592748,53.197986
P10869,P10869_HOM3,49.9516380397017,52.316666
P10961,P10961_HSF1,52.7989736510247,52.367347
P10964,P10964_RPA190,49.0250394971663,52.625108
P11075,P11075_SEC7,48.3512105347327,49.558854
P11076,P11076_ARF1,48.3740463286063,54.50514
P11154,P11154_PYC1,48.0491955035469,54.449892
P11353,P11353_HEM13,48.6959962510641,58.451873
P11412,P11412_ZWF1,49.3545734653716,53.647357
P11484,P11484_SSB1,48.6224548813465,55.472535
P11491,P11491_PHO8,53.5060466796712,55.219251
P11632,P11632_NHP6A,48.6441617706077,58.199644
P11633,P11633_NHP6B,48.6995712711762,55.176347
P11709,P11709_BIK1,54.4550862006647,52.008861
P11745,P11745_RNA1,46.5532304979188,50.876129
P11914,P11914_MAS2,49.2984684221835,56.944257
P11927,P11927_KAR1,54.4812429118682,53.31375
P11938,P11938_RAP1,48.2163432267577,51.643139
P11986,P11986_INO1,52.6261238016678,54.304862
P12385,P12385_SUP45,50.3367559914496,54.574901
P12611,P12611_WHI2,44.1792394074394,52.121729
P12612,P12612_TCP1,45.8109077850038,60.142046
P12630,P12630_BAR1,50.8776980083367,53.439385
P12695,P12695_LAT1,47.0900293321087,53.192604
P12709,P12709_PGI1,52.9509314750944,54.267806
P12753,P12753_RAD50,41.2068570724546,54.001957
P12754,P12754_GCD2,48.8660014396403,53.595537
P12887,P12887_UNG1,47.4565118643614,53.62289
P12904,P12904_SNF4,49.6542298668155,54.357749
P12945,P12945_NAT1,43.4875152890829,51.283616
P13185,P13185_KIN1,47.90276386008,54.314387
P13188,P13188_GLN4,46.7145189006963,54.586107
P13298,P13298_URA5,51.5566636860792,58.478302
P13517,P13517_CAP2,50.4382169576208,53.269148
P13574,P13574_STE12,51.034383544438,54.156387
P13663,P13663_HOM2,54.435473435432,53.33305
P14020,P14020_DPM1,43.7057773966424,52.189225
P14065,P14065_GCY1,52.1119522366635,52.207321
P14120,P14120_RPL30,43.1215872965355,60.265201
P14126,P14126_RPL3,41.6254548183648,57.852203
P14127,P14127_RPS17B,43.5967405515081,54.67177
P14164,P14164_ABF1,47.5853871019867,51.825267
P14306,P14306_TFS1,54.36241631509,54.065055
P14540,P14540_FBA1,48.1441114307538,55.302548
P14682,P14682_CDC34,55.8054835566833,54.652858
P14742,P14742_GFA1,44.0686223884591,53.669947
P14743,P14743_NMT1,48.4360903280149,53.716034
P14747,P14747_CMP2,52.8561118028234,52.713019
P14832,P14832_CPR1,51.63477926242,58.503407
P14843,P14843_ARO3,43.7249837206865,59.806687
P14904,P14904_APE1,50.8151582056775,51.709735
P14907,P14907_NSP1,56.6054399502173,55.309516
P14922,P14922_CYC8,45.133155918056,52.967703
P15019,P15019_TAL1,48.282141405783,53.456682
P15108,P15108_HSC82,50.7297991867975,57.547933
P15180,P15180_KRS1,47.6708697357438,52.255738
P15274,P15274_AMD1,46.1239690675129,52.252752
P15303,P15303_SEC23,48.7362331781878,52.798671
P15424,P15424_MSS116,43.0476232697145,55.063623
P15454,P15454_GUK1,49.3245123390209,64.032859
P15496,P15496_IDI1,53.1679454622329,52.842838
P15565,P15565_TRM1,48.9149154755861,52.379864
P15624,P15624_FRS1,50.4751317721343,52.256578
P15625,P15625_FRS2,51.1920600586779,53.176624
P15646,P15646_NOP1,43.6001673561026,65.033507
P15700,P15700_URA6,50.478668902107,53.218544
P15703,P15703_BGL2,53.2142832393545,55.085039
P15705,P15705_STI1,53.120499556312,55.490023
P15731,P15731_UBC4,56.9498504468154,54.376048
P15790,P15790_CKA1,47.1583381051088,55.281544
P15807,P15807_MET8,46.6741327610175,55.992275
P15873,P15873_POL30,54.4359446793828,57.157511
P15891,P15891_ABP1,53.8314432532131,54.73423
P15992,P15992_HSP26,43.4639718982529,58.015901
P16120,P16120_THR4,53.0119240013824,53.52838
P16140,P16140_VMA2,49.4817469005794,60.497779
P16370,P16370_RPB3,50.6723208494328,53.216791
P16387,P16387_PDA1,46.5200119091582,51.976937
P16467,P16467_PDC5,48.7318474802042,55.276585
P16474,P16474_KAR2,49.0405408241414,56.708795
P16521,P16521_YEF3,42.9418311122017,54.342163
P16547,P16547_OM45,50.3166178345531,55.298322
P16550,P16550_APA1,48.0795516159184,51.817054
P16603,P16603_NCP1,47.2820553843004,54.357147
P16622,P16622_HEM15,42.8776889316889,50.576705
P16639,P16639_ATE1,51.934288796374,59.568262
P16649,P16649_TUP1,53.3377506338215,53.435421
P16658,P16658_SEN2,50.3786678268238,51.524574
P16861,P16861_PFK1,46.3592064782854,53.477192
P16862,P16862_PFK2,46.0692887767796,56.43
P17065,P17065_SEC2,49.5052601242662,52.946299
P17076,P17076_RPL8A,41.8347880962213,53.440052
P17106,P17106_CBF1,51.680700125831,55.232787
P17157,P17157_PHO85,46.7827629045266,54.466194
P17255,P17255_VMA1,49.5999391271679,55.289751
P17423,P17423_THR1,52.6375148555115,52.29556
P17505,P17505_MDH1,52.0561255006414,52.866489
P17555,P17555_SRV2,48.9007527010793,52.435172
P17558,P17558_PET123,42.0493502103261,53.347963
P17649,P17649_UGA1,48.1464032470804,57.240415
P17695,P17695_GRX2,57.3731403849131,61.948764
P17709,P17709_GLK1,49.8575504183655,52.753931
P17883,P17883_SKI3,47.8874225665243,51.058263
P17890,P17890_RPC31,54.6080134225381,56.12511
P17891,P17891_CLC1,58.6829541808302,53.632063
P17967,P17967_PDI1,50.3007091296592,52.229524
P18239,P18239_PET9,48.0759346259864,55.181688
P18412,P18412_TEC1,55.6424160856111,53.570014
P18494,P18494_GLN3,50.342671023864,52.061719
P18544,P18544_ARG8,50.7054927625007,58.760923
P18562,P18562_FUR1,43.1595832439603,61.6629
P18759,P18759_SEC18,59.1637185018572,55.198401
P18852,P18852_STE18,44.2232026890791,52.669907
P18900,P18900_COQ1,49.9113812880231,51.154822
P18962,P18962_DAP2,50.0312218070931,56.226379
P19073,P19073_CDC42,43.2115120434172,57.082635
P19097,P19097_FAS2,48.8831541784747,52.480572
P19146,P19146_ARF2,48.5389530783077,55.169207
P19262,P19262_KGD2,50.0357459906825,54.116327
P19358,P19358_SAM2,47.4438343681027,56.726462
P19414,P19414_ACO1,50.9185557139644,55.641007
P19454,P19454_CKA2,44.0960550621105,53.555328
P19524,P19524_MYO2,45.1983789039615,51.365572
P19735,P19735_PRP6,48.8709866549049,53.358626
P19812,P19812_UBR1,48.6087922318133,50.646043
P19880,P19880_YAP1,50.9971822568813,53.645712
P19881,P19881_PHO13,53.3536714106643,52.274853
P19882,P19882_HSP60,50.5342346002458,53.612953
P19955,P19955_YMR31,50.1498001230941,56.753117
P20049,P20049_TYR1,47.2191444971825,54.344136
P20051,P20051_URA4,53.5097759248055,55.843371
P20081,P20081_FPR1,53.787415875944,62.209898
P20084,P20084_MRPL33,44.9095018262501,64.335686
P20107,P20107_ZRC1,49.8656280837273,55.226022
P20133,P20133_BET2,53.257384527781,57.674873
P20433,P20433_RPB4,54.0477048643179,52.547413
P20434,P20434_RPB5,49.5693075724792,55.854541
P20435,P20435_RPO26,56.1928844466278,56.442517
P20436,P20436_RPB8,51.8554946534626,56.880111
P20438,P20438_CLN2,56.3595697220128,53.910643
P20449,P20449_DBP5,51.2547324735524,53.340924
P20459,P20459_SUI2,50.6454007680537,56.157774
P20484,P20484_MAK11,48.0408005259777,55.187315
P20485,P20485_CKI1,44.4194469635269,52.139753
P20486,P20486_CKS1,52.1333709284592,54.795891
P20604,P20604_SIT4,53.1938479505063,53.055614
P20676,P20676_NUP1,51.7107126203762,55.804557
P20967,P20967_KGD1,46.5370741842527,50.734019
P21147,P21147_OLE1,47.227404973862,53.535879
P21182,P21182_SPE2,52.3922364077523,50.817776
P21192,P21192_ACE2,47.8479939832013,52.644408
P21242,P21242_PRE10,49.716244594242,53.955752
P21243,P21243_SCL1,50.7107528247271,54.84274
P21264,P21264_ADE2,50.7287792462227,64.169323
P21304,P21304_PWP1,44.6346684611508,55.458635
P21306,P21306_ATP15,52.7806377826007,58.749396
P21375,P21375_OSM1,51.8064090712686,64.140147
P21524,P21524_RNR1,45.2895237544433,53.636718
P21538,P21538_REB1,48.1508902497185,51.206231
P21576,P21576_VPS1,45.9416976224905,54.168093
P21771,P21771_MRPS28,48.2137255226999,54.205936
P21801,P21801_SDH2,46.7643667787134,53.272653
P21827,P21827_SRM1,47.9059261451051,51.753443
P21954,P21954_IDP1,51.7689314331465,54.137033
P21965,P21965_MCK1,50.7405742186027,52.401346
P22023,P22023_KRE5,49.2148465638078,52.238375
P22108,P22108_APA2,51.0123288062278,52.615917
P22133,P22133_MDH2,52.0656244015937,54.711026
P22134,P22134_MAG1,59.6282260541055,61.675781
P22137,P22137_CHC1,48.2540438527298,52.262545
P22138,P22138_RPA135,49.0866679193214,53.533608
P22139,P22139_RPB10,49.8277773568933,65.065503
P22141,P22141_PRE1,50.5551672492525,56.680495
P22146,P22146_GAS1,52.4196066161628,51.585835
P22147,P22147_XRN1,44.3486539450172,52.294964
P22149,P22149_AFT1,52.6149538547131,52.197284
P22202,P22202_SSA4,50.9822302070694,58.352858
P22203,P22203_VMA4,53.7526637937104,58.613271
P22213,P22213_SLY1,47.98048197225,53.800827
P22276,P22276_RET1,45.4978017981459,53.731376
P22289,P22289_QCR9,51.6436979110967,55.756265
P22336,P22336_RFA1,49.7936425604474,53.811675
P22353,P22353_MRPL8,42.4582375995396,53.156215
P22354,P22354_MRPL20,44.7799782363039,53.767687
P22470,P22470_SAN1,50.359711500871,50.724584
P22515,P22515_UBA1,49.2603316585087,50.713199
P22579,P22579_SIN3,51.3308085589761,51.552218
P22696,P22696_ESS1,46.8199925944156,50.634879
P22768,P22768_ARG1,47.911472614173,53.561443
P22855,P22855_AMS1,47.4042798040326,52.990443
P22936,P22936_APN1,55.3474172983319,52.688932
P23180,P23180_AIM17,47.8856116476427,53.172749
P23201,P23201_SPA2,54.2292458259959,54.260325
P23202,P23202_URE2,46.6664718155337,52.293414
P23248,P23248_RPS1B,42.1866521514791,53.055578
P23254,P23254_TKL1,53.2734480541171,54.034406
P23285,P23285_CPR2,51.9550030878576,55.171734
P23287,P23287_CNA1,51.2966355302028,53.897107
P23291,P23291_YCK1,48.9547658391459,51.915836
P23292,P23292_YCK2,46.5907188874543,51.504451
P23301,P23301_HYP2,57.6498417676883,53.859246
P23337,P23337_GSY1,50.1651615435493,51.536936
P23542,P23542_AAT2,52.7296992142911,55.64999
P23594,P23594_PPH21,51.9280916105431,52.256942
P23595,P23595_PPH22,50.5204203226331,51.846969
P23615,P23615_SPT6,45.7669462921994,53.417808
P23638,P23638_PRE9,49.024797275587,60.148787
P23639,P23639_PRE8,50.9021665393307,57.341403
P23644,P23644_TOM40,49.7183721225193,53.93694
P23724,P23724_PRE7,49.1976605070024,57.620579
P23776,P23776_EXG1,50.9264889877074,53.58867
P24000,P24000_RPL24B,41.6008194573564,56.409121
P24031,P24031_PHO3,49.6783298072343,52.631956
P24276,P24276_SSD1,45.1843280768959,51.5742
P24279,P24279_MCM3,53.1033987717902,51.585549
P24280,P24280_SEC14,47.3707899066348,57.776839
P24309,P24309_DBR1,50.54210302377,55.34451
P24384,P24384_PRP22,47.4423368746919,53.981966
P24521,P24521_ERG8,44.5845623464602,52.108043
P24583,P24583_PKC1,51.5733039017649,54.33014
P24783,P24783_DBP2,41.9381778720857,53.178865
P25037,P25037_UBP1,48.9164473956781,51.679647
P25039,P25039_MEF1,48.5693676150044,53.540653
P25040,P25040_TSR4,50.3699674811446,52.440417
P25043,P25043_PUP1,49.2907510636642,53.757149
P25087,P25087_ERG6,46.4000533530737,56.893307
P25293,P25293_NAP1,47.2355994885394,50.213432
P25294,P25294_SIS1,50.0581408247051,55.164415
P25297,P25297_PHO84,46.6231568043702,55.448574
P25332,P25332_RBK1,52.4103739218985,59.971946
P25342,P25342_CDC10,45.9398262815466,53.314799
P25343,P25343_RVS161,49.2711453820055,56.418812
P25344,P25344_STE50,51.236706756424,53.966916
P25349,P25349_YCP4,51.3572531426993,55.523044
P25359,P25359_RRP43,49.0470688032101,53.202975
P25371,P25371_ADP1,49.1760844113073,55.490392
P25373,P25373_GRX1,51.220403010667,63.126683
P25374,P25374_NFS1,48.190899453124,54.271859
P25375,P25375_PRD1,49.3253725543721,53.802872
P25376,P25376_AGP1,42.153178263605,53.288698
P25382,P25382_RSA4,55.014600516718,54.063314
P25385,P25385_BOS1,54.5532550475867,55.664271
P25386,P25386_USO1,51.7715980690704,53.032559
P25441,P25441_RPC53,47.9559323491042,53.573114
P25443,P25443_RPS2,41.8887296542276,60.386562
P25451,P25451_PUP3,50.2076115334343,59.3494
P25491,P25491_YDJ1,48.1249110077327,59.329456
P25554,P25554_SGF29,49.9391926851896,52.202314
P25555,P25555_GBP2,45.6271615181341,54.301322
P25558,P25558_BUD3,52.0621191477389,53.166312
P25567,P25567_SRO9,45.7970170256428,52.555078
P25569,P25569_GID7,51.1944945028317,52.240044
P25576,P25576_POF1,50.8778277515894,55.047297
P25586,P25586_KRR1,44.0084341175943,52.776939
P25605,P25605_ILV6,50.7771011343159,51.557082
P25608,P25608_YCR102C,52.2600245331292,54.268295
P25617,P25617_YCR016W,44.1068372561355,50.995964
P25623,P25623_SYP1,47.7477753739709,52.576381
P25631,P25631_YCR051W,50.9130750586093,57.130277
P25637,P25637_YIH1,48.284541503495,54.442012
P25638,P25638_TAH1,49.9285504487042,57.024217
P25644,P25644_PAT1,48.0502298999393,51.752281
P25654,P25654_YCR090C,51.1297518643178,58.161157
P25655,P25655_CDC39,49.6624501427563,49.86473
P25659,P25659_FUB1,52.0967169494661,54.843336
P25694,P25694_CDC48,51.2464797805351,55.358905
P25719,P25719_CPR3,52.915349475911,53.281641
P26263,P26263_PDC6,48.6467128585759,54.562277
P26321,P26321_RPL5,41.8006262727083,60.805988
P26570,P26570_PPZ1,46.4371697350261,51.413912
P26637,P26637_CDC60,46.8545115097004,54.405254
P26754,P26754_RFA2,51.4885544298973,50.199902
P26755,P26755_RFA3,52.1079823466241,53.046364
P26783,P26783_RPS5,42.6175863728411,53.413844
P26784,P26784_RPL16A,42.7699536256894,71.48366
P26785,P26785_RPL16B,42.3732924217017,59.953821
P26786,P26786_RPS7A,42.4738178675743,54.700881
P26793,P26793_RAD27,52.2939941246396,56.450301
P27344,P27344_DPB3,54.0407759078501,54.039007
P27466,P27466_CMK1,50.1777582358243,54.028422
P27472,P27472_GSY2,49.5715674187082,51.827967
P27476,P27476_NSR1,48.7832085078254,55.990589
P27614,P27614_CPS1,51.853448783508,55.414027
P27616,P27616_ADE1,51.1337852348144,57.985795
P27637,P27637_BUD14,50.315307771634,55.706877
P27692,P27692_SPT5,48.9788565064812,55.347019
P27705,P27705_MIG1,51.0023868323397,53.667003
P27809,P27809_KRE2,44.9741956727564,54.872376
P27810,P27810_KTR1,46.8273349367661,54.345709
P27882,P27882_ERV1,52.8360735959837,55.241621
P27999,P27999_RPB9,51.9379228639212,58.499509
P28000,P28000_RPC19,53.5931552578697,56.508905
P28005,P28005_POP5,47.1661904989169,61.047345
P28239,P28239_PPA2,44.1541070411709,51.55139
P28241,P28241_IDH2,52.3925028060424,53.554064
P28263,P28263_UBC8,47.1573611901725,54.283941
P28272,P28272_URA1,46.9137045181834,59.93225
P28273,P28273_OXP1,47.0313173386611,60.370392
P28274,P28274_URA7,45.4895676671397,57.913309
P28320,P28320_YJU2,46.3604638462317,56.594402
P28495,P28495_CAP1,50.0488085202925,62.572652
P28707,P28707_SBA1,53.8474221394095,52.623421
P28777,P28777_ARO2,52.6155807016053,53.614873
P28789,P28789_HEM3,53.6491989697778,56.660712
P28817,P28817_EHD3,47.1415518735352,53.221577
P28834,P28834_IDH1,52.3932222065332,60.112101
P29029,P29029_CTS1,51.3827115153621,53.142852
P29311,P29311_BMH1,55.375478854979,54.170942
P29453,P29453_RPL8B,42.1984045573435,53.781217
P29468,P29468_PAP1,45.848590120168,51.53386
P29469,P29469_MCM2,47.505642313908,54.017073
P29478,P29478_SEC65,47.7570495408635,56.323868
P29496,P29496_MCM5,45.359686498587,53.320467
P29509,P29509_TRR1,47.3688253307778,65.539217
P29547,P29547_CAM1,44.1565209071595,52.784604
P29703,P29703_RAM2,49.5660879985579,53.677064
P29952,P29952_PMI40,50.5043832498455,52.246171
P30402,P30402_URA10,53.4503230856689,56.074446
P30605,P30605_ITR1,45.9870734150846,55.777162
P30624,P30624_FAA1,44.1189515709535,53.497201
P30656,P30656_PRE2,50.3922246750677,54.668498
P30657,P30657_PRE4,50.5188926005881,60.345131
P30665,P30665_MCM4,51.4909650335663,52.192765
