rxn_id,Topt,Tm,Length,T90,dCpt,topt_source
MOHMT,314.035,320.647,433,,-4000.0,mesophile_prior
ASP1DC,323.385,329.183,488,,-4000.0,mesophile_prior
CBFCuc,306.693,338.527,87,,-4000.0,mesophile_prior
PANTS,308.581,321.108,369,,-4000.0,mesophile_prior
PNTK,312.38,338.868,362,,-4000.0,mesophile_prior
CYTBDpp_2,320.851,324.42,595,,-4000.0,mesophile_prior
PPCDC,311.013,331.718,194,,-4000.0,mesophile_prior
CBFCua,311.666,327.804,197,,-4000.0,mesophile_prior
PPNCL3,320.544,324.936,525,,-4000.0,mesophile_prior
PPNCL2,307.906,330.774,307,,-4000.0,mesophile_prior
DHORDfum,306.824,321.768,264,,-4000.0,mesophile_prior
CYTBDu_1,303.586,337.239,211,,-4000.0,mesophile_prior
DPCOAK,292.106,337.848,295,,-4000.0,mesophile_prior
G1PACT,313.822,331.08,361,,-4000.0,mesophile_prior
UAGDP,306.944,326.419,181,,-4000.0,mesophile_prior
UAGCVT,322.624,336.114,382,,-4000.0,mesophile_prior
UAPGR,309.174,331.417,508,,-4000.0,mesophile_prior
UAMAS,314.467,326.293,441,,-4000.0,mesophile_prior
UAMAGS,321.826,335.716,270,,-4000.0,mesophile_prior
UAAGDS,305.938,338.828,423,,-4000.0,mesophile_prior
ASPO5_2,321.584,335.845,432,,-4000.0,mesophile_prior
GLUDC,303.519,332.365,343,,-4000.0,mesophile_prior
UGMDDS,307.395,327.724,219,,-4000.0,mesophile_prior
PAPPT3,307.627,335.224,457,,-4000.0,mesophile_prior
UAGPT3,304.192,330.269,363,,-4000.0,mesophile_prior
ACS,303.347,330.627,539,,-4000.0,mesophile_prior
UDCPDP,305.984,330.785,463,,-4000.0,mesophile_prior
PPTGS_Syn_1,299.237,329.957,358,,-4000.0,mesophile_prior
PYK,315.854,332.058,166,,-4000.0,mesophile_prior
ATPS4rpp_1,310.013,341.588,280,,-4000.0,mesophile_prior
ATPSu_1,304.142,330.141,80,,-4000.0,mesophile_prior
G6PDH2r,317.672,340.56,387,,-4000.0,mesophile_prior
PGL,308.754,337.405,613,,-4000.0,mesophile_prior
GND,316.769,327.185,248,,-4000.0,mesophile_prior
PEPC,306.21,325.505,441,,-4000.0,mesophile_prior
TMPPP,314.292,326.749,197,,-4000.0,mesophile_prior
PPS,328.15,341.055,616,,-4000.0,mesophile_prior
RNDR4,320.039,323.039,251,,-4000.0,mesophile_prior
ICDHyr,293.707,335.31,131,,-4000.0,mesophile_prior
DCTPD_1,319.188,324.593,249,,-4000.0,mesophile_prior
DCTPD2_1,315.741,332.043,569,,-4000.0,mesophile_prior
SUCDu_syn,300.028,334.515,292,,-4000.0,mesophile_prior
SUCDyy_syn,301.509,308.211,206,,-4000.0,mesophile_prior
CS,296.995,326.12,438,,-4000.0,mesophile_prior
ME2,300.542,323.353,519,,-4000.0,mesophile_prior
PGLYCP,308.569,321.401,462,,-4000.0,mesophile_prior
POR_syn,308.849,341.071,282,,-4000.0,mesophile_prior
OXADC,306.194,318.414,168,,-4000.0,mesophile_prior
FDH6_1,307.161,321.718,500,,-4000.0,mesophile_prior
TMDS3,327.089,330.089,476,,-4000.0,mesophile_prior
HGPHT,325.326,328.326,485,,-4000.0,mesophile_prior
GLUPRT,317.389,337.581,303,,-4000.0,mesophile_prior
PRAGSr,317.175,332.663,220,,-4000.0,mesophile_prior
PRFGS,324.876,330.139,110,,-4000.0,mesophile_prior
PRAIS,317.375,336.029,188,,-4000.0,mesophile_prior
CHRPL,312.642,323.542,356,,-4000.0,mesophile_prior
ADSS,292.543,332.586,159,,-4000.0,mesophile_prior
HBZNPT,314.755,328.212,315,,-4000.0,mesophile_prior
PQBS1,318.031,321.031,279,,-4000.0,mesophile_prior
RNDR2,317.714,340.779,256,,-4000.0,mesophile_prior
PQBS2,322.254,325.254,104,,-4000.0,mesophile_prior
NTPP2,308.208,314.776,482,,-4000.0,mesophile_prior
SHCHCS3,297.702,338.647,302,,-4000.0,mesophile_prior
NTD7,316.614,329.144,522,,-4000.0,mesophile_prior
SEPHCHCS,308.106,312.977,447,,-4000.0,mesophile_prior
H2CO3_NAt_syn,312.895,323.005,409,,-4000.0,mesophile_prior
UREAabcpp,309.195,333.946,429,,-4000.0,mesophile_prior
IMPD,313.834,325.928,285,,-4000.0,mesophile_prior
GLNabcpp,307.628,337.21,585,,-4000.0,mesophile_prior
NH4tpp_1,310.684,328.842,304,,-4000.0,mesophile_prior
SULabcpp,309.383,334.293,209,,-4000.0,mesophile_prior
GMPS2,304.321,321.82,359,,-4000.0,mesophile_prior
GART,303.465,325.57,299,,-4000.0,mesophile_prior
NTPP8,323.26,329.728,594,,-4000.0,mesophile_prior
FECHEabcpp,305.474,341.375,241,,-4000.0,mesophile_prior
SUCBZS,326.321,329.321,255,,-4000.0,mesophile_prior
MNabc_1,297.258,325.481,142,,-4000.0,mesophile_prior
SUCBZL,318.029,330.863,504,,-4000.0,mesophile_prior
Kabcpp,324.227,333.923,492,,-4000.0,mesophile_prior
NPHSa,298.553,325.617,429,,-4000.0,mesophile_prior
ZNabcpp,305.918,329.08,307,,-4000.0,mesophile_prior
NAKt2pp,319.035,322.035,547,,-4000.0,mesophile_prior
NPHSb,305.171,329.061,254,,-4000.0,mesophile_prior
FE2Gabcpp,326.804,329.804,415,,-4000.0,mesophile_prior
DHNAPHT1,304.419,329.326,546,,-4000.0,mesophile_prior
NI2uabcpp,302.494,337.747,250,,-4000.0,mesophile_prior
ZN2abcpp,308.171,334.721,364,,-4000.0,mesophile_prior
DMTPHT,295.243,334.74,80,,-4000.0,mesophile_prior
FE2abcpp,303.633,320.166,105,,-4000.0,mesophile_prior
CA2t3pp,323.214,328.7,340,,-4000.0,mesophile_prior
34HPPOR,314.565,321.072,295,,-4000.0,mesophile_prior
MG2uabcpp,305.069,338.256,373,,-4000.0,mesophile_prior
GTPCII,309.416,336.494,572,,-4000.0,mesophile_prior
PDX5PSa,300.338,322.615,80,,-4000.0,mesophile_prior
CA2abcpp,316.803,323.688,310,,-4000.0,mesophile_prior
DHPPDA_2,308.115,328.33,332,,-4000.0,mesophile_prior
PDX5POi,316.34,328.899,305,,-4000.0,mesophile_prior
UPP3MT,319.465,330.367,194,,-4000.0,mesophile_prior
PC20M,315.986,331.721,391,,-4000.0,mesophile_prior
CUabcpp,307.125,328.423,379,,-4000.0,mesophile_prior
PC17M,320.339,332.296,160,,-4000.0,mesophile_prior
RBFSa,323.801,332.935,414,,-4000.0,mesophile_prior
PC11M,313.955,321.209,282,,-4000.0,mesophile_prior
MOBDabcpp,320.064,323.064,276,,-4000.0,mesophile_prior
SPMDabcpp,315.59,332.448,294,,-4000.0,mesophile_prior
R05219,302.856,337.155,175,,-4000.0,mesophile_prior
RBFSb,312.244,326.552,80,,-4000.0,mesophile_prior
PTRCabcpp,298.369,325.516,345,,-4000.0,mesophile_prior
RBFK,325.832,333.136,295,,-4000.0,mesophile_prior
PC6YM,306.649,323.842,525,,-4000.0,mesophile_prior
R05224_1,306.874,339.486,497,,-4000.0,mesophile_prior
CYRDAAT,303.395,320.098,214,,-4000.0,mesophile_prior
FMNAT,316.299,346.759,227,,-4000.0,mesophile_prior
COCHL,310.016,325.363,478,,-4000.0,mesophile_prior
TRNFE,313.221,329.422,371,,-4000.0,mesophile_prior
APTRS,315.276,318.276,256,,-4000.0,mesophile_prior
ADCYRS,309.154,325.105,80,,-4000.0,mesophile_prior
PACL,312.732,336.148,292,,-4000.0,mesophile_prior
GGPS,328.15,341.725,440,,-4000.0,mesophile_prior
ADCPS2,301.633,340.681,355,,-4000.0,mesophile_prior
ACBIPGT,318.153,322.428,364,,-4000.0,mesophile_prior
DMBZS1,319.906,328.344,261,,-4000.0,mesophile_prior
NPRT,314.19,333.789,272,,-4000.0,mesophile_prior
GGPP,303.477,320.631,305,,-4000.0,mesophile_prior
ADOCBLS,314.287,342.587,598,,-4000.0,mesophile_prior
LYSDC,292.127,318.237,361,,-4000.0,mesophile_prior
THRTRS,322.9,325.9,728,,-4000.0,mesophile_prior
ALATRS,301.604,333.847,403,,-4000.0,mesophile_prior
MTAP,317.681,327.84,310,,-4000.0,mesophile_prior
NTPTP1,314.762,331.373,281,,-4000.0,mesophile_prior
UPPRT,304.417,346.631,222,,-4000.0,mesophile_prior
ASNTRS,295.972,329.375,406,,-4000.0,mesophile_prior
ARGTRS,308.642,335.359,332,,-4000.0,mesophile_prior
GLGC,316.845,332.223,240,,-4000.0,mesophile_prior
ADNCYC,299.537,327.506,410,,-4000.0,mesophile_prior
AMID3_1,308.229,314.759,170,,-4000.0,mesophile_prior
AMID_2,316.346,319.346,393,,-4000.0,mesophile_prior
AMID2_1,322.092,329.427,401,,-4000.0,mesophile_prior
LEUTRS,327.304,339.017,80,,-4000.0,mesophile_prior
ADPRDP,311.3,322.622,231,,-4000.0,mesophile_prior
GLBRAN2,304.722,323.545,244,,-4000.0,mesophile_prior
HOXG,307.356,331.589,476,,-4000.0,mesophile_prior
GMAND,284.179,324.469,80,,-4000.0,mesophile_prior
ACACT1r,310.655,339.496,80,,-4000.0,mesophile_prior
ILETRS,317.988,326.566,510,,-4000.0,mesophile_prior
AACOAR_syn,324.533,330.65,303,,-4000.0,mesophile_prior
PROTRS,309.177,322.899,468,,-4000.0,mesophile_prior
GLNTRAT,315.709,320.724,408,,-4000.0,mesophile_prior
GLCP2,318.144,333.065,221,,-4000.0,mesophile_prior
MALT,324.068,327.214,447,,-4000.0,mesophile_prior
GLCP,312.069,332.93,467,,-4000.0,mesophile_prior
FMETTRS,302.772,318.101,239,,-4000.0,mesophile_prior
HISTRS,322.705,335.928,213,,-4000.0,mesophile_prior
GLYTRS,292.67,334.214,527,,-4000.0,mesophile_prior
CYPHYS,317.28,328.947,110,,-4000.0,mesophile_prior
DBTS,301.327,324.456,457,,-4000.0,mesophile_prior
VALTRS,307.997,327.178,264,,-4000.0,mesophile_prior
GLCGLYCabcpp_syn,305.934,308.934,161,,-4000.0,mesophile_prior
UAG2EMA,314.015,326.744,172,,-4000.0,mesophile_prior
METTRS,291.047,345.507,121,,-4000.0,mesophile_prior
CYPHYC,303.73,338.066,292,,-4000.0,mesophile_prior
CYNTAH_1,312.893,324.55,136,,-4000.0,mesophile_prior
DXPS,297.986,335.826,164,,-4000.0,mesophile_prior
CYSTRS,303.135,310.563,456,,-4000.0,mesophile_prior
DXPRIi,297.906,328.589,304,,-4000.0,mesophile_prior
TYRTRS,297.191,327.916,181,,-4000.0,mesophile_prior
CSND_1,321.924,324.924,472,,-4000.0,mesophile_prior
MEPCT,310.535,338.739,387,,-4000.0,mesophile_prior
LYSTRS,308.935,336.256,389,,-4000.0,mesophile_prior
CDPMEK,311.05,336.265,178,,-4000.0,mesophile_prior
SERTRS,320.068,330.506,80,,-4000.0,mesophile_prior
ASPTRS,304.45,331.948,112,,-4000.0,mesophile_prior
MECDPS,328.15,338.979,507,,-4000.0,mesophile_prior
TRPTRS,319.058,331.168,269,,-4000.0,mesophile_prior
MECDPDH3_syn,303.898,329.557,186,,-4000.0,mesophile_prior
IPDPS_syn,325.878,341.106,343,,-4000.0,mesophile_prior
ACP1_FMN,310.941,318.728,370,,-4000.0,mesophile_prior
DMATT,311.387,341.626,493,,-4000.0,mesophile_prior
RBCh_2,301.385,331.194,483,,-4000.0,mesophile_prior
GRTT,316.061,323.015,556,,-4000.0,mesophile_prior
SQLC,325.652,331.007,431,,-4000.0,mesophile_prior
SQLC2,322.345,334.053,490,,-4000.0,mesophile_prior
UDPDPS,312.359,332.768,292,,-4000.0,mesophile_prior
NTP3,300.535,335.661,609,,-4000.0,mesophile_prior
GGDPR,298.075,319.656,443,,-4000.0,mesophile_prior
GRDPTT7,306.817,344.498,319,,-4000.0,mesophile_prior
FTHFCL,312.546,328.718,252,,-4000.0,mesophile_prior
GRDPTT5,312.357,323.86,614,,-4000.0,mesophile_prior
AHMMPS,319.067,328.218,160,,-4000.0,mesophile_prior
PALMCL,295.175,316.891,217,,-4000.0,mesophile_prior
AMPD2,299.212,324.006,286,,-4000.0,mesophile_prior
AHMMPS2,313.958,329.836,317,,-4000.0,mesophile_prior
THZPSN2,316.339,319.464,129,,-4000.0,mesophile_prior
IACAH,325.543,329.999,241,,-4000.0,mesophile_prior
MALTHG,308.22,324.061,435,,-4000.0,mesophile_prior
TRNAUMT,306.499,341.624,116,,-4000.0,mesophile_prior
MACPD,324.682,327.682,225,,-4000.0,mesophile_prior
HPROa,301.542,327.929,376,,-4000.0,mesophile_prior
NMNAT,313.012,334.582,366,,-4000.0,mesophile_prior
BAMPPALDOX,326.557,329.557,419,,-4000.0,mesophile_prior
NABTNO,321.439,339.425,93,,-4000.0,mesophile_prior
FDH6pp,309.956,321.837,344,,-4000.0,mesophile_prior
GLYCK,323.811,330.161,436,,-4000.0,mesophile_prior
HIBDkt,312.036,329.509,467,,-4000.0,mesophile_prior
GLUK_syn,316.175,333.623,234,,-4000.0,mesophile_prior
G3PD,292.729,319.494,356,,-4000.0,mesophile_prior
MTHFD2i,315.219,339.494,80,,-4000.0,mesophile_prior
KAS15,298.113,321.222,160,,-4000.0,mesophile_prior
NMNS,328.15,339.986,303,,-4000.0,mesophile_prior
G6PBDH,320.611,328.948,319,,-4000.0,mesophile_prior
ARGN,308.842,335.531,588,,-4000.0,mesophile_prior
NADH5,312.047,331.198,282,,-4000.0,mesophile_prior
PDHa,313.682,325.992,189,,-4000.0,mesophile_prior
HPYRRx,306.729,335.8,391,,-4000.0,mesophile_prior
NTD4,328.15,337.728,142,,-4000.0,mesophile_prior
CBFC2ub,303.043,330.453,304,,-4000.0,mesophile_prior
PGSA181_9,304.746,328.207,218,,-4000.0,mesophile_prior
GMPS,315.516,337.328,490,,-4000.0,mesophile_prior
PHYTEDH1,318.556,334.335,314,,-4000.0,mesophile_prior
NTPP4,322.098,331.928,263,,-4000.0,mesophile_prior
UPPDC2,313.621,329.798,273,,-4000.0,mesophile_prior
NTPP9,302.119,324.441,462,,-4000.0,mesophile_prior
PGSA160,316.014,319.014,404,,-4000.0,mesophile_prior
PGSA161,310.453,328.913,291,,-4000.0,mesophile_prior
PGSA180,300.493,330.479,323,,-4000.0,mesophile_prior
PGSA181,324.584,327.584,498,,-4000.0,mesophile_prior
PGSA182_9_12,328.15,334.133,551,,-4000.0,mesophile_prior
PGSA183_6_9_12,297.325,327.859,263,,-4000.0,mesophile_prior
OXGDC2,315.65,325.96,323,,-4000.0,mesophile_prior
OPHBDC,314.235,333.286,272,,-4000.0,mesophile_prior
MECDPDH_syn,297.049,328.282,113,,-4000.0,mesophile_prior
FRUt3,310.496,342.684,172,,-4000.0,mesophile_prior
GLUt2rpp,300.346,343.302,264,,-4000.0,mesophile_prior
LYSabcpp,320.476,332.553,420,,-4000.0,mesophile_prior
MNt2pp,306.74,320.247,475,,-4000.0,mesophile_prior
PGSA183_9_12_15,318.366,325.644,400,,-4000.0,mesophile_prior
PGSA184_6_9_12_15,307.862,333.29,80,,-4000.0,mesophile_prior
PAPA184_6_9_12_15,298.656,334.201,474,,-4000.0,mesophile_prior
PAPA160,312.55,334.777,124,,-4000.0,mesophile_prior
PAPA161,328.15,338.753,316,,-4000.0,mesophile_prior
Kt2pp,300.344,329.303,270,,-4000.0,mesophile_prior
ADCPS1,295.104,327.647,276,,-4000.0,mesophile_prior
BILIRED,313.301,337.074,162,,-4000.0,mesophile_prior
PAPA180,322.431,328.001,524,,-4000.0,mesophile_prior
CU2abcu_syn,309.847,324.474,391,,-4000.0,mesophile_prior
PAPA181,319.287,339.548,452,,-4000.0,mesophile_prior
PAPA181_9,319.456,322.456,275,,-4000.0,mesophile_prior
PAPA182_9_12,299.713,321.425,228,,-4000.0,mesophile_prior
PAPA183_6_9_12,299.762,327.283,605,,-4000.0,mesophile_prior
PAPA183_9_12_15,306.986,327.444,277,,-4000.0,mesophile_prior
PFK_2,328.15,341.786,214,,-4000.0,mesophile_prior
SQD2_160,305.103,338.959,327,,-4000.0,mesophile_prior
SQD2_161,302.282,324.521,330,,-4000.0,mesophile_prior
ANSN,301.943,332.55,109,,-4000.0,mesophile_prior
PROD5u,312.454,331.484,80,,-4000.0,mesophile_prior
SQD2_180,316.651,323.761,332,,-4000.0,mesophile_prior
SQD2_181,300.975,326.873,266,,-4000.0,mesophile_prior
SQD2_181_9,312.277,329.364,589,,-4000.0,mesophile_prior
SQD2_182_9_12,318.614,326.441,157,,-4000.0,mesophile_prior
SQD2_183_6_9_12,307.083,334.852,467,,-4000.0,mesophile_prior
PROD5p,325.142,329.477,308,,-4000.0,mesophile_prior
