rxn_id,Topt,Tm,Length,T90,dCpt,source,best_gene
R04430__mito,307.790751,326.686326,937,,-4000.0,median,
R05168__cyto,314.341113,326.655111,326,,-4000.0,seq2topt_seq2tm,XP_025341376.1
R04920__cyto,304.391995,326.231918,293,,-4000.0,seq2topt_seq2tm,XP_025343691.1
R02235__mito,304.675733,328.202656,204,,-4000.0,seq2topt_seq2tm,XP_025339718.1
R05506__cyto,320.852179,327.952608,461,,-4000.0,seq2topt_seq2tm,XP_025342531.1
R04144__cyto,311.959326,329.9705,791,,-4000.0,seq2topt_seq2tm,XP_025343214.1
R03758__cyto,310.275582,326.056233,907,,-4000.0,seq2topt_seq2tm,XP_025341358.1
R00708__cyto,302.353123,324.902418,584,,-4000.0,seq2topt_seq2tm,XP_025341706.1
R01279__pero,306.141121,326.294312,704,,-4000.0,seq2topt_seq2tm,XP_025340905.1
R10170__cyto,307.619726,325.060973,778,,-4000.0,seq2topt_seq2tm,XP_025344540.1
R05234__cyto,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R03158__cyto,302.498588,326.299164,467,,-4000.0,seq2topt_seq2tm,XP_025339645.1
R00159__cyto,307.790751,326.686326,674,,-4000.0,median,
R00662__cyto,307.790751,326.686326,740,,-4000.0,median,
R12404__cyto,308.562723,330.437765,351,,-4000.0,seq2topt_seq2tm,XP_025339777.1
R10115__cyto,307.790751,326.686326,423,,-4000.0,median,
R02668__cyto,312.779223,327.067426,453,,-4000.0,seq2topt_seq2tm,XP_025342242.1
R10548__cyto,305.746643,325.104353,760,,-4000.0,seq2topt_seq2tm,XP_025340333.1
R12399__cyto,310.275582,326.056233,907,,-4000.0,seq2topt_seq2tm,XP_025341358.1
R03492__cyto,307.790751,326.686326,578,,-4000.0,median,
R00332__cyto,306.479877,332.110378,185,,-4000.0,seq2topt_seq2tm,XP_025343386.1
R12024__mito,318.26438,328.801653,333,,-4000.0,seq2topt_seq2tm,XP_025339708.1
R01752__cyto,305.60823,327.157834,512,,-4000.0,seq2topt_seq2tm,XP_025343288.1
R04582__cyto,303.509559,325.118908,684,,-4000.0,seq2topt_seq2tm,XP_025341958.1
R04967__mito,307.790751,326.686326,937,,-4000.0,median,
R02617__cyto,319.640847,326.920047,456,,-4000.0,seq2topt_seq2tm,XP_025343071.1
R01086__cyto,306.338267,328.301492,464,,-4000.0,seq2topt_seq2tm,XP_025343822.1
R10056__cyto,299.966994,327.726004,385,,-4000.0,seq2topt_seq2tm,XP_025343248.1
R02396__cyto,303.71978,325.512961,752,,-4000.0,seq2topt_seq2tm,XP_025340381.1
R00756__cyto,308.180551,329.673538,945,,-4000.0,seq2topt_seq2tm,XP_025340245.1
R04863__cyto,307.790751,326.686326,2224,,-4000.0,median,XP_025340420.1
R10827__cyto,307.790751,326.686326,232,,-4000.0,median,
R07497__cyto,309.678947,330.491403,218,,-4000.0,seq2topt_seq2tm,XP_025340233.1
R01663__cyto,300.071008,329.624632,267,,-4000.0,seq2topt_seq2tm,XP_025343812.1
R04941__cyto,317.317371,330.868658,394,,-4000.0,seq2topt_seq2tm,XP_025340817.1
R11099__pero,303.723356,327.178219,152,,-4000.0,seq2topt_seq2tm,XP_025340538.1
R05046__cyto,307.746183,326.650128,286,,-4000.0,seq2topt_seq2tm,XP_025341690.1
R00582__cyto,304.12882,326.067421,307,,-4000.0,seq2topt_seq2tm,XP_025340340.1
R04536__cyto,307.790751,326.686326,1388,,-4000.0,median,
R11005__mito,307.790751,326.686326,490,,-4000.0,median,
R00405__mito,301.669261,325.99192,324,,-4000.0,seq2topt_seq2tm,XP_025339919.1
R00770__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R08281__mito,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R02731__cyto,309.889211,324.300906,396,,-4000.0,seq2topt_seq2tm,XP_025342994.1
R04946__cyto,316.511106,325.371537,590,,-4000.0,seq2topt_seq2tm,XP_025340376.1
R00014__mito,324.925503,332.034352,362,,-4000.0,seq2topt_seq2tm,XP_025342530.1
R00177__cyto,334.500417,331.398609,382,,-4000.0,seq2topt_seq2tm,XP_025344315.1
R11220__cyto,307.790751,326.686326,442,,-4000.0,median,
R00209__mito,296.945777,327.248612,481,,-4000.0,seq2topt_seq2tm,XP_025344579.1
R01279__cyto,306.141121,326.294312,704,,-4000.0,seq2topt_seq2tm,XP_025340905.1
R04962__mito,307.790751,326.686326,937,,-4000.0,median,
R02326__cyto,333.878939,334.161672,151,,-4000.0,seq2topt_seq2tm,XP_025339680.1
R00904__cyto,305.60823,327.157834,512,,-4000.0,seq2topt_seq2tm,XP_025343288.1
R11005__cyto,307.790751,326.686326,490,,-4000.0,median,
R00515__cyto,313.347272,326.310048,209,,-4000.0,seq2topt_seq2tm,XP_025344566.1
R03450__mito,307.790751,326.686326,678,,-4000.0,median,
R00341__cyto,302.450755,325.709048,553,,-4000.0,seq2topt_seq2tm,XP_025341195.1
R08281__cyto,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R00925__cyto,300.657073,327.012721,680,,-4000.0,seq2topt_seq2tm,XP_025340510.1
R03970__cyto,311.660177,325.04082,587,,-4000.0,seq2topt_seq2tm,XP_025341618.1
R00086__cyto,307.790751,326.686326,674,,-4000.0,median,
R03259__cyto,307.790751,326.686326,1223,,-4000.0,median,
R00236__cyto,300.657073,327.012721,680,,-4000.0,seq2topt_seq2tm,XP_025340510.1
R04962__cyto,307.790751,326.686326,937,,-4000.0,median,
R02731__mito,309.889211,324.300906,396,,-4000.0,seq2topt_seq2tm,XP_025342994.1
R11220__mito,307.790751,326.686326,442,,-4000.0,median,
R08964__cyto,304.849977,327.205959,1151,,-4000.0,seq2topt_seq2tm,XP_025344155.1
R01274__cyto,308.817189,328.683367,260,,-4000.0,seq2topt_seq2tm,XP_025340293.1
R09510__cyto,299.966994,327.726004,385,,-4000.0,seq2topt_seq2tm,XP_025343248.1
R04557__cyto,326.321443,328.132495,370,,-4000.0,seq2topt_seq2tm,XP_025339979.1
R00751__cyto,313.142802,328.641477,371,,-4000.0,seq2topt_seq2tm,XP_025343692.1
R00513__cyto,305.783064,326.939681,475,,-4000.0,seq2topt_seq2tm,XP_025340880.1
R03313__cyto,298.313012,325.687811,437,,-4000.0,seq2topt_seq2tm,XP_025344557.1
R02026__cyto,330.834685,329.419705,438,,-4000.0,seq2topt_seq2tm,XP_025340642.1
R04355__pero,307.790751,326.686326,1146,,-4000.0,median,
R04922__cyto,304.391995,326.231918,293,,-4000.0,seq2topt_seq2tm,XP_025343691.1
R04037__cyto,302.577366,326.776549,860,,-4000.0,seq2topt_seq2tm,XP_025340600.1
R04779__cyto,308.180551,329.673538,945,,-4000.0,seq2topt_seq2tm,XP_025340245.1
R04726__cyto,307.790751,326.686326,1146,,-4000.0,median,
R02109__cyto,307.790751,326.686326,1511,,-4000.0,median,
R02340__cyto,318.207739,330.264661,692,,-4000.0,seq2topt_seq2tm,XP_025340496.1
R03066__cyto,305.615172,323.743501,758,,-4000.0,seq2topt_seq2tm,XP_025344187.1
R01574__cyto,311.146763,326.327333,348,,-4000.0,seq2topt_seq2tm,XP_025341347.1
R03777__pero,306.141121,326.294312,704,,-4000.0,seq2topt_seq2tm,XP_025340905.1
R10951__cyto,307.790751,326.686326,2898,,-4000.0,median,
R00287__cyto,313.347272,326.310048,209,,-4000.0,seq2topt_seq2tm,XP_025344566.1
R04301__cyto,311.692643,331.683853,262,,-4000.0,seq2topt_seq2tm,XP_025341223.1
R02106__cyto,311.01993,325.606415,766,,-4000.0,seq2topt_seq2tm,XP_025342819.1
R01880__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R01708__cyto,310.275582,326.056233,907,,-4000.0,seq2topt_seq2tm,XP_025341358.1
R01317__cyto,307.790751,326.686326,935,,-4000.0,median,
R01818__cyto,317.10431,331.733087,251,,-4000.0,seq2topt_seq2tm,XP_025341134.1
R02061__cyto,315.280859,325.763962,334,,-4000.0,seq2topt_seq2tm,XP_025343264.1
R02687__cyto,307.790751,326.686326,609,,-4000.0,median,
R04206__cyto,305.480246,325.067076,804,,-4000.0,seq2topt_seq2tm,XP_025340868.1
R07888__cyto,306.141121,326.294312,704,,-4000.0,seq2topt_seq2tm,XP_025340905.1
R9737__mito,307.790751,326.686326,432,,-4000.0,median,
R12329__cyto,307.790751,326.686326,276,,-4000.0,median,
R00257__cyto,305.746296,326.263806,474,,-4000.0,seq2topt_seq2tm,XP_025343057.1
R04426__cyto,307.255804,326.985279,369,,-4000.0,seq2topt_seq2tm,XP_025342199.1
R03013__cyto,314.195133,330.069974,314,,-4000.0,seq2topt_seq2tm,XP_025343819.1
R08244__cyto,304.801543,328.263667,528,,-4000.0,seq2topt_seq2tm,XP_025342826.1
R00424__cyto,307.790751,326.686326,286,,-4000.0,median,
R10288__cyto,305.480246,325.067076,804,,-4000.0,seq2topt_seq2tm,XP_025340868.1
R01926__cyto,304.834066,325.177106,482,,-4000.0,seq2topt_seq2tm,XP_025342374.1
R01706__cyto,307.790751,326.686326,624,,-4000.0,median,
R04866__cyto,307.790751,326.686326,831,,-4000.0,median,
R00014__cyto,324.925503,332.034352,362,,-4000.0,seq2topt_seq2tm,XP_025342530.1
R03425__mito,304.24668,325.737664,1028,,-4000.0,seq2topt_seq2tm,XP_025340725.1
R00754__cyto,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R03197__cyto,339.862976,336.453864,362,,-4000.0,seq2topt_seq2tm,XP_025344347.1
R03643__cyto,307.790751,326.686326,224,,-4000.0,median,
R02746__mito,307.790751,326.686326,2076,,-4000.0,median,
R10953__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R01054__cyto,313.347272,326.310048,209,,-4000.0,seq2topt_seq2tm,XP_025344566.1
R01290__cyto,304.717204,331.472424,494,,-4000.0,seq2topt_seq2tm,XP_025344688.1
R02715__mito,303.527759,324.71185,555,,-4000.0,seq2topt_seq2tm,XP_025344774.1
R04559__cyto,305.035453,326.002464,482,,-4000.0,seq2topt_seq2tm,XP_025339664.1
R02324__cyto,304.97147,326.138219,232,,-4000.0,seq2topt_seq2tm,XP_025342790.1
R00754__mito,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R07505__cyto,303.241031,327.121583,362,,-4000.0,seq2topt_seq2tm,XP_025343182.1
R04506__cyto,305.60823,327.157834,512,,-4000.0,seq2topt_seq2tm,XP_025343288.1
R03348__mito,310.606555,328.534243,299,,-4000.0,seq2topt_seq2tm,XP_025343218.1
R04428__cyto,307.790751,326.686326,1188,,-4000.0,median,
R08575__cyto,309.938979,328.138116,323,,-4000.0,seq2topt_seq2tm,XP_025342550.1
R07762__pero,307.790751,326.686326,360,,-4000.0,median,
R01007__cyto,307.790751,326.686326,2146,,-4000.0,median,XP_025341848.1
R04444__mito,302.353123,324.902418,584,,-4000.0,seq2topt_seq2tm,XP_025341706.1
R00897__cyto,330.834685,329.419705,438,,-4000.0,seq2topt_seq2tm,XP_025340642.1
R10147__cyto,319.517691,333.573464,295,,-4000.0,seq2topt_seq2tm,XP_025343283.1
R12657__mito,307.002321,324.590334,488,,-4000.0,seq2topt_seq2tm,XP_025341435.1
R08639__cyto,306.589761,328.167632,556,,-4000.0,seq2topt_seq2tm,XP_025343401.1
R02872__cyto,300.963799,326.249602,445,,-4000.0,seq2topt_seq2tm,XP_025344713.1
R10700__cyto,307.790751,326.686326,2054,,-4000.0,median,
R01021__cyto,302.786956,325.165567,543,,-4000.0,seq2topt_seq2tm,XP_025341645.1
R07389__cyto,304.391995,326.231918,293,,-4000.0,seq2topt_seq2tm,XP_025343691.1
R10089__cyto,293.950084,327.854231,244,,-4000.0,seq2topt_seq2tm,XP_025342045.1
R11166__cyto,307.790751,326.686326,267,,-4000.0,median,
R08306__cyto,305.265215,323.473069,383,,-4000.0,seq2topt_seq2tm,XP_025340682.1
R02091__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R02746__cyto,307.790751,326.686326,2076,,-4000.0,median,
R03361__cyto,307.790751,326.686326,1136,,-4000.0,median,
R07330__cyto,307.002321,324.590334,488,,-4000.0,seq2topt_seq2tm,XP_025341435.1
R00126__cyto,307.790751,326.686326,789,,-4000.0,median,
R05578__cyto,305.256993,324.145088,511,,-4000.0,seq2topt_seq2tm,XP_025342339.1
R04887__cyto,311.692643,331.683853,262,,-4000.0,seq2topt_seq2tm,XP_025341223.1
R03530__cyto,333.878939,334.161672,151,,-4000.0,seq2topt_seq2tm,XP_025339680.1
R04221__cyto,311.545443,333.290216,346,,-4000.0,seq2topt_seq2tm,XP_025343797.1
R04001__cyto,307.619726,325.060973,778,,-4000.0,seq2topt_seq2tm,XP_025344540.1
R07116__cyto,304.199073,326.341119,321,,-4000.0,seq2topt_seq2tm,XP_025344035.1
R02098__cyto,324.136787,331.596211,209,,-4000.0,seq2topt_seq2tm,XP_025344098.1
R03471__cyto,310.902235,328.304216,569,,-4000.0,seq2topt_seq2tm,XP_025341791.1
R01775__cyto,310.275582,326.056233,907,,-4000.0,seq2topt_seq2tm,XP_025341358.1
R00086__mito,307.790751,326.686326,674,,-4000.0,median,
R02096__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R02101__cyto,299.026561,325.625512,294,,-4000.0,seq2topt_seq2tm,XP_025340161.1
R01070__cyto,310.520875,326.818451,357,,-4000.0,seq2topt_seq2tm,XP_025342563.1
R11945__mito,309.999575,329.458603,218,,-4000.0,seq2topt_seq2tm,XP_025344565.1
R03409__cyto,309.685141,331.059852,391,,-4000.0,seq2topt_seq2tm,XP_025344078.1
R02748__cyto,316.910716,332.115826,307,,-4000.0,seq2topt_seq2tm,XP_025343966.1
R01496__cyto,320.852179,327.952608,461,,-4000.0,seq2topt_seq2tm,XP_025342531.1
R00239__cyto,307.378134,325.294015,441,,-4000.0,seq2topt_seq2tm,XP_025341954.1
R10035__cyto,341.727619,333.429816,825,,-4000.0,seq2topt_seq2tm,XP_025341985.1
R06516__cyto,316.068935,327.279392,594,,-4000.0,seq2topt_seq2tm,XP_025343721.1
R00995__pero,305.173433,326.972839,788,,-4000.0,seq2topt_seq2tm,XP_025340244.1
R02093__cyto,333.878939,334.161672,151,,-4000.0,seq2topt_seq2tm,XP_025339680.1
R01056__cyto,305.537216,329.978254,238,,-4000.0,seq2topt_seq2tm,XP_025342165.1
R02047__mito,310.111716,327.405223,227,,-4000.0,seq2topt_seq2tm,XP_025341008.1
R01665__cyto,305.076055,326.136759,317,,-4000.0,seq2topt_seq2tm,XP_025342018.1
R01059__cyto,317.411799,330.100688,586,,-4000.0,seq2topt_seq2tm,XP_025344224.1
R00129__cyto,305.480246,325.067076,804,,-4000.0,seq2topt_seq2tm,XP_025340868.1
R02372__cyto,302.762247,324.572799,573,,-4000.0,seq2topt_seq2tm,XP_025344429.1
R08359__cyto,321.319863,327.574363,313,,-4000.0,seq2topt_seq2tm,XP_025342943.1
R02094__cyto,324.136787,331.596211,209,,-4000.0,seq2topt_seq2tm,XP_025344098.1
R01724__cyto,320.147573,329.689124,417,,-4000.0,seq2topt_seq2tm,XP_025343708.1
R08091__cyto,320.852179,327.952608,461,,-4000.0,seq2topt_seq2tm,XP_025342531.1
